dr_no,date_rptd,date_occ,time_occ,hour,day_of_week,month,year,is_weekend,area_name,crm_cd_desc,vict_age,vict_sex,weapon_desc,status_desc,lat,lon
210105319,2021-02-01,2021-01-22,1500,15,Friday,1,2021,0,Central,BURGLARY FROM VEHICLE,71,M,,Adult Other,34.0533,-118.2361
242006593,2024-03-01,2024-02-13,1000,10,Tuesday,2,2024,0,Olympic,THEFT OF IDENTITY,74,M,,Invest Cont,34.0598,-118.2941
231813282,2023-07-12,2023-07-11,130,1,Tuesday,7,2023,0,Southeast,VEHICLE - STOLEN,0,,,Invest Cont,33.9389,-118.2328
221209420,2022-03-30,2022-03-02,36,0,Wednesday,3,2022,0,77th Street,THEFT OF IDENTITY,32,F,,Invest Cont,33.958,-118.3177
230911534,2023-07-08,2023-05-29,1325,13,Monday,5,2023,0,Van Nuys,THEFT OF IDENTITY,69,F,,Invest Cont,34.1611,-118.4443
210120081,2021-11-08,2021-11-08,600,6,Monday,11,2021,0,Central,INTIMATE PARTNER - SIMPLE ASSAULT,21,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,34.0533,-118.2561
240907537,2024-04-03,2024-04-01,1646,16,Monday,4,2024,0,Van Nuys,SHOPLIFTING - PETTY THEFT ($950 & UNDER),46,F,,Invest Cont,34.1564,-118.463
230711733,2023-07-07,2023-05-26,1300,13,Friday,5,2023,0,Wilshire,VEHICLE - STOLEN,0,,,Adult Arrest,34.0473,-118.3213
230714741,2023-09-17,2023-09-10,2035,20,Sunday,9,2023,1,Wilshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,,Invest Cont,34.0669,-118.3456
222008861,2022-04-21,2022-04-21,512,5,Thursday,4,2022,0,Olympic,THEFT PLAIN - PETTY ($950 & UNDER),34,M,,Invest Cont,34.0561,-118.302
230310508,2023-05-07,2023-05-07,1830,18,Sunday,5,2023,1,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,F,PIPE/METAL PIPE,Adult Other,34.0109,-118.3089
